start.station.id,end.station.name,dia.llegada,mes.llegada,año.llegada,Numero.viajes
3184,Marin Light Rail,1,9,2020,1
3184,Marin Light Rail,1,10,2020,3
3184,Marin Light Rail,2,9,2020,1
3184,Marin Light Rail,3,9,2019,4
3184,Marin Light Rail,3,9,2020,1
3184,Marin Light Rail,4,9,2019,1
3184,Marin Light Rail,4,9,2020,1
3184,Marin Light Rail,4,10,2020,2
3184,Marin Light Rail,5,9,2019,9
3184,Marin Light Rail,5,9,2020,1
3184,Marin Light Rail,5,10,2020,1
3184,Marin Light Rail,6,9,2019,2
3184,Marin Light Rail,6,9,2020,1
3184,Marin Light Rail,6,10,2020,1
3184,Marin Light Rail,7,9,2019,2
3184,Marin Light Rail,7,9,2020,1
3184,Marin Light Rail,8,9,2019,2
3184,Marin Light Rail,8,10,2020,1
3184,Marin Light Rail,9,9,2019,5
3184,Marin Light Rail,9,9,2020,1
3184,Marin Light Rail,9,10,2020,1
3184,Marin Light Rail,10,9,2019,2
3184,Marin Light Rail,10,10,2020,1
3184,Marin Light Rail,11,9,2019,5
3184,Marin Light Rail,11,9,2020,1
3184,Marin Light Rail,11,10,2020,2
3184,Marin Light Rail,12,9,2019,2
3184,Marin Light Rail,12,9,2020,5
3184,Marin Light Rail,13,9,2019,5
3184,Marin Light Rail,14,9,2019,4
3184,Marin Light Rail,14,9,2020,2
3184,Marin Light Rail,15,9,2019,2
3184,Marin Light Rail,15,9,2020,1
3184,Marin Light Rail,16,9,2019,5
3184,Marin Light Rail,17,9,2019,1
3184,Marin Light Rail,18,9,2019,2
3184,Marin Light Rail,18,9,2020,1
